,Texto,Sentimento
0,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
1,"RT @SigaGazetaBR: #ATENÇÃO: Bancos suspendem concessão de consignado para aposentados após decisão do Governo Lula
 https://t.co/s4NbQ8zcEu",Insatisfeito
2,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
3,RT @revistaoeste: Autor de CPMI do 8 de janeiro aciona PGR contra Lula e Padilha https://t.co/75VOsulVJe,Insatisfeito
4,"RT @DCM_online: VÍDEO – “Te amo, Lula”: Menino interrompe presidente em discurso para dizer que “o preço da picanha caiu”
https://t.co/NLa5…",Insatisfeito
5,RT @SigaGazetaBR: Lula: ‘Como é que o Brasil não tem a generosidade de oferecer universidade para crianças e adolescentes de todo o contine…,Insatisfeito
6,Kkkkkkkk Lucas Musetti se ofendeu pq falei do Lula kkkkkkk https://t.co/Jz7QuHaX7f,Insatisfeito
7,RT @revistaoeste: Lula: ‘Cadeia está cheia de gente inocente no Brasil’ https://t.co/kHtfrmBSRp,Insatisfeito
8,"I fit into an old favorite shirt again. 

I wanted to share some progress. It's Hella slow but I'm doing it

Very r… https://t.co/G9j4vCsJRT",Neutro
9,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
10,RT @alertatotal: Lula promove insegurança jurídica... Empresários que fizeram o L... Agora não adianta chorar... Quem reclama já perdeu...,Insatisfeito
11,A massagem que aguarda essa Rafaela até o Lula vem p assistir 😂,Insatisfeito
12,"RT @cesarcalejon1: O Lula, após ouvir que a criança o amava, disse ""eu te amo também"". Um cara que só fala de amor, paz, combate à fome, cr…",Insatisfeito
13,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
14,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
15,"RT @nikolas_dm: Juntamente com @andrefernm e @filipebarrost, protocolamos na PGR um pedido de investigação contra Lula e Padilha pela compr…",Insatisfeito
16,Criança interrompe discurso de Lula em Itaipu: 'Caiu o preço da picanha' https://t.co/T5Tikaa8fm via @UOLNoticias @UOL,Insatisfeito
17,RT @PedroRonchi2: O Lula apresentou projeto pra igualar salários de homens e mulheres. O mercado tá dizendo que isso vai gerar desemprego d…,Insatisfeito
18,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
19,RT @rogeriosmarinho: O gov Lula não respeita contratos! A insegurança jurídica tomou conta. A AGU revogou a portaria que autorizava o uso d…,Insatisfeito
20,Qual é a aposta do governo Lula para a segurança pública no país https://t.co/82eqbsoiyM,Insatisfeito
21,"RT @alertatotal: De que adianta o sujeito ser o ""Comandante em chefe das Forças Armadas""? O desprezo e a má vontade com que Lula passa a tr…",Insatisfeito
22,Gleisi afirma que mercado financeiro é bolsonarista e tem interesses prejudiciais ao governo Lula https://t.co/E3O7eI1j8O,Insatisfeito
23,"RT @Zambelli2210: É inegável: lula está levando o país para o BURACO, destruindo todas as conquistas do governo Bolsonaro para o povo brasi…",Insatisfeito
24,@SF_Moro Lula é seu Presidente ! 🤫🤫😹 https://t.co/yPdGzVpJBl,Insatisfeito
25,Qual é a aposta do governo Lula para a segurança pública no país https://t.co/InhZ1fDKBK,Insatisfeito
26,RT @paiva: NÃO GENTE KKKKKKKK A KEY SAINDO DA MESA QUANDO PERGUNTAM DO LULA NÃO É POSSÍVEL KKKKKKK https://t.co/BKhJcKY6y1,Insatisfeito
